City,Predicted_covid-19 cases(1st October)
Tuensang,3365
Lakshmeshwar,2379
Zira,2625
Yawal,2312
Thana Bhawan,2480
Ramdurg,2424
Pulgaon,3169
Sadasivpet,2397
Nargund,2032
Neem-Ka-Thana,1765
Memari,2213
Nilanga,2127
Naharlagun,2047
Pakaur,2643
Wai,2654
Tarikere,2642
Malavalli,2314
Raisen,2404
Lahar,2139
Uravakonda,2366
Savanur,2414
Sirohi,2311
Udhampur,2070
Umarga,2434
Pratapgarh,2039
Lingsugur,2454
Usilampatti,2528
Palia Kalan,2215
Wokha,2155
Rajpipla,2460
Vijayapura,2157
Rawatbhata,4019
Sangaria,2176
Paithan,2173
Rahuri,3929
Patti,2482
Zaidpur,2568
Lalsot,2301
Maihar,2053
Degana,2222
Vedaranyam,2225
Nawapur,2562
Solan,2150
Vapi,2323
Almora,4332
Sanawad,1959
Warisaliganj,2210
Revelganj,2157
Sabalgarh,2266
Tuljapur,3671
Simdega,2283
Musabani,2551
Kodungallur,2854
Phulabani,2589
Umreth,2329
Narsipatnam,2231
Nautanwa,1866
Rajgir,2262
Yellandu,2152
Sathyamangalam,5309
Pilibanga,1964
Morshi,1870
Pehowa,2288
Sonepur,2311
Pappinisseri,2597
Zamania,2165
Mihijam,2667
Purna,2096
"Shikarpur, Bulandshahr",2693
Umaria,2178
Porsa,2476
Naugawan Sadat,2530
Faizabad,2158
Manuguru,2272
Ellenabad,2527
Udaipur,2249
Pipar City,2479
Nanjikottai,3063
Taranagar,2249
Yerraguntla,2504
Satana,2427
Sherghati,3928
Sankeshwara,2513
Madikeri,2326
Thuraiyur,7197
Sanand,1906
Rajula,2353
Kyathampalle,2593
"Shahabad, Rampur",2269
Tilda Newra,2565
Narsinghgarh,2466
Chittur-Thathamangalam,2505
Malaj Khand,2115
Sarangpur,2334
Robertsganj,2053
Sirkali,2418
Radhanpur,2604
Tiruchendur,2447
Utraula,2348
Patratu,2207
"Vijainagar, Ajmer",1965
Periyasemur,2995
Pathri,2877
Sadabad,2505
Talikota,2544
Sinnar,7238
Mungeli,2323
Sedam,2044
Shikaripur,2646
Sumerpur,2242
Sattur,3011
Sugauli,2677
Lumding,1930
Vandavasi,2353
Titlagarh,2385
Uchgaon,2307
Mokokchung,2163
Paschim Punropara,2446
Sagwara,2068
Ramganj Mandi,1936
Tarakeswar,2208
Mahalingapura,2727
Dharmanagar,2151
Mahemdabad,2170
Manendragarh,2513
Banaganipalli,2595
Uran,2305
Tharamangalam,2089
Tirukkoyilur,2450
Pen,2449
Mussoorie,3398
Makhdumpur,2659
Maner Sharif,2569
Oddanchatram,2463
Palladam,2147
Mundi,2661
Sitarganj,2764
Nabarangapur,2457
Mudalagi,2337
Samalkha,2595
Nepanagar,2073
Karjat,5321
Ranavav,2530
Pedana,2661
Lakheri,2664
Pasan,2127
Puttur,2631
Vadakkuvalliyur,2286
Tirukalukundram,2361
Muvattupuzha,2853
Rasra,2246
Udaipurwati,2401
Manwath,2947
Adoor,2699
Uthamapalayam,3649
Partur,2127
Nahan,2218
Rajesultanpur,2520
Ladwa,2117
Kotdwar,2305
Mankachar,3359
Nongstoin,3496
Nedumbassery,2629
Losal,2290
Ramngarh,2697
Mavelikkara,4123
Rawatsar,3715
Rajakhera,1865
Lar,2359
Lal Gopalganj Nindaura,2330
Muddebihal,2577
Sirsaganj,2157
Shahpura,2405
Surandai,2459
Sangole,2399
Pavagada,2481
Tharad,2638
Mansa,2194
Umargam,5328
Mavoor,2780
Nalbari,2530
Talaja,2354
Malur,2250
Mangrulpir,2215
Soro,2415
Shahpura,2206
Vadnagar,2628
Chamba,2013
Raisinghnagar,2183
Sindhagi,2461
Sanduru,2409
Sohna,2195
Manavadar,2420
Pihani,2410
Safidon,3984
Risod,2425
Rosera,2578
Sankari,2209
Malpura,1983
Sonamukhi,2438
Varandarappilly,3337
"Shamsabad, Agra",2453
Nokha,2326
Pandua,2180
Mainaguri,2125
Afzalpur,2621
Bagepalli,2234
Shirur,2395
Salaya,1953
Shenkottai,2441
Pratapgarh,3311
Nagarkurnool,2252
Savner,2470
Sasvad,3733
Rudrapur,2321
Soron,2306
Sholingur,2176
Pandharkaoda,2218
Perumbavoor,2362
Maddur,2381
Nadbai,2214
Talode,2231
Shrigonda,2176
Madhugiri,2538
Tekkalakote,2616
Seoni-Malwa,2243
Shirdi,2519
Suar,2338
Terdal,2236
Raver,2424
Tirupathur,2439
Taraori,2152
Mukhed,2128
Manachanallur,5365
Jaynagar Majilpur,2731
Rehli,2371
Sanchore,2887
Rajura,2085
Piro,2066
Mudabidri,3578
Vadgaon Kasba,2290
Nagar,2145
Vijapur,2140
Viswanatham,2076
Bajpur,3452
Polur,2104
Panagudi,2319
Manawar,1976
Pauri,2142
Samdhan,2636
Pardi,2453
Rahatgarh,2405
